uuid,generation,location,parent-uuids,genetic-operators,push-program-size,plush-genome-size,push-program,plush-genome,total-error,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9
35808c8b-3894-45ac-844b-10c27e5e5be1,0,0,[],:random,40,35,(integer_yankdup vector_integer_rot exec_yankdup print_char char_isletter zip_insert_child_fromcode zip_insert_right_fromexec () zip_replace_fromcode zip_insert_child_fromexec (boolean_yank string_fromfloat return_exec_pop) vector_string_set float_yank zip_fromexec (boolean_pop float_gt zip_leftmost char_isletter code_stackdepth integer_rot zip_leftmost exec_pop (float_inc zip_rot code_fromziproot return_string_pop) char_isdigit) code_fromziprights code_nthcdr code_do vector_boolean_flush string_dup code_contains integer_max),"({:instruction integer_yankdup, :close 0} {:instruction vector_integer_rot, :close 0} {:instruction exec_yankdup, :close 0} {:instruction print_char, :close 0} {:instruction char_isletter, :close 0} {:instruction zip_insert_child_fromcode, :close 1} {:instruction zip_insert_right_fromexec, :close 1} {:instruction zip_replace_fromcode, :close 0} {:instruction zip_insert_child_fromexec, :close 0} {:instruction boolean_yank, :close 0} {:instruction string_fromfloat, :close 0} {:instruction return_exec_pop, :close 1} {:instruction vector_string_set, :close 1} {:instruction float_yank, :close 0} {:instruction zip_fromexec, :close 0} {:instruction boolean_pop, :close 0} {:instruction float_gt, :close 0} {:instruction zip_leftmost, :close 0} {:instruction char_isletter, :close 0} {:instruction code_stackdepth, :close 0} {:instruction integer_rot, :close 0} {:instruction zip_leftmost, :close 0} {:instruction exec_pop, :close 0} {:instruction float_inc, :close 0} {:instruction zip_rot, :close 0} {:instruction code_fromziproot, :close 0} {:instruction return_string_pop, :close 1} {:instruction char_isdigit, :close 2} {:instruction code_fromziprights, :close 0} {:instruction code_nthcdr, :close 0} {:instruction code_do, :close 0} {:instruction vector_boolean_flush, :close 0} {:instruction string_dup, :close 1} {:instruction code_contains, :close 0} {:instruction integer_max, :close 0})",10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
a0aac11b-3a83-4ab0-90a8-b3b5331c6d68,0,1,[],:random,38,35,(vector_boolean_rot vector_integer_nth print_char exec_when (vector_integer_nth vector_string_eq vector_string_conj integer_max zip_fromexec () integer_lte float_min return_string_pop) vector_string_last vector_string_length exec_stackdepth vector_boolean_subvec vector_string_nth string_empty float_yankdup environment_begin vector_float_emptyvector vector_integer_length (string_replacefirst vector_boolean_pop) string_yankdup float_dec zip_eq exec_yankdup string_replacefirst float_dec vector_boolean_remove vector_integer_flush vector_integer_empty float_flush),"({:instruction vector_boolean_rot, :close 0} {:instruction vector_integer_nth, :close 0} {:instruction print_char, :close 0} {:instruction exec_when, :close 0} {:instruction vector_integer_nth, :close 0} {:instruction vector_string_eq, :close 0} {:instruction vector_string_conj, :close 0} {:instruction integer_max, :close 0} {:instruction zip_fromexec, :close 1} {:instruction integer_lte, :close 0} {:instruction float_min, :close 0} {:instruction return_string_pop, :close 1} {:instruction vector_string_last, :close 0} {:instruction vector_string_length, :close 0} {:instruction exec_stackdepth, :close 0} {:instruction vector_boolean_subvec, :close 0} {:instruction vector_string_nth, :close 0} {:instruction string_empty, :close 0} {:instruction float_yankdup, :close 0} {:instruction environment_begin, :close 0} {:instruction vector_float_emptyvector, :close 0} {:instruction vector_integer_length, :close 0} {:instruction noop_open_paren, :close 0} {:instruction string_replacefirst, :close 0} {:instruction vector_boolean_pop, :close 1} {:instruction string_yankdup, :close 0} {:instruction float_dec, :close 0} {:instruction zip_eq, :close 1} {:instruction exec_yankdup, :close 1} {:instruction string_replacefirst, :close 1} {:instruction float_dec, :close 0} {:instruction vector_boolean_remove, :close 0} {:instruction vector_integer_flush, :close 0} {:instruction vector_integer_empty, :close 0} {:instruction float_flush, :close 0})",5,1,0,1,0,1,0,1,0,1,0
d69cd8a2-69b7-45b2-9f8e-6d4664e33451,0,2,[],:random,40,34,(string_first vector_integer_nth exec_when (string_conjchar exec_fromzipnode) vector_string_indexof zip_shove exec_fromziproot exec_do*times (code_size float_sub zip_down environment_new () vector_integer_conj vector_float_occurrencesof) float_yank vector_boolean_remove string_empty vector_boolean_first exec_empty boolean_pop code_rand vector_string_butlast float_yank exec_if (string_shove code_eq vector_integer_emptyvector) (zip_empty vector_string_replacefirst boolean_empty vector_boolean_empty vector_string_emptyvector vector_string_rest)),"({:instruction string_first, :close 0} {:instruction vector_integer_nth, :close 0} {:instruction exec_when, :close 0} {:instruction string_conjchar, :close 0} {:instruction exec_fromzipnode, :close 1} {:instruction vector_string_indexof, :close 0} {:instruction zip_shove, :close 0} {:instruction exec_fromziproot, :close 0} {:instruction exec_do*times, :close 0} {:instruction code_size, :close 0} {:instruction float_sub, :close 0} {:instruction zip_down, :close 0} {:instruction environment_new, :close 1} {:instruction vector_integer_conj, :close 0} {:instruction vector_float_occurrencesof, :close 1} {:instruction float_yank, :close 0} {:instruction vector_boolean_remove, :close 0} {:instruction string_empty, :close 0} {:instruction vector_boolean_first, :close 0} {:instruction exec_empty, :close 1} {:instruction boolean_pop, :close 1} {:instruction code_rand, :close 0} {:instruction vector_string_butlast, :close 0} {:instruction float_yank, :close 0} {:instruction exec_if, :close 0} {:instruction string_shove, :close 0} {:instruction code_eq, :close 0} {:instruction vector_integer_emptyvector, :close 1} {:instruction zip_empty, :close 0} {:instruction vector_string_replacefirst, :close 0} {:instruction boolean_empty, :close 0} {:instruction vector_boolean_empty, :close 0} {:instruction vector_string_emptyvector, :close 0} {:instruction vector_string_rest, :close 0})",10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
6bb55e6d-2a5d-4a76-9953-81e5f1437e1c,0,3,[],:random,53,48,(code_length zip_end? zip_remove float_lte boolean_xor vector_integer_occurrencesof exec_do*vector_boolean () vector_string_last string_frominteger exec_if (return_string_pop vector_string_take vector_boolean_take vector_integer_yank integer_rot integer_yank char_isletter vector_string_butlast code_do* integer_lte boolean_stackdepth return_string_pop string_fromboolean code_fromfloat) (print_char vector_integer_indexof string_swap exec_do*range () exec_fromziplefts) zip_branch? vector_integer_occurrencesof zip_pop string_butlast vector_float_nth vector_integer_rest integer_lte float_gt char_stackdepth string_substring print_char code_do*range code_fromzipchildren print_char code_quote zip_left vector_boolean_butlast char_dup exec_fromziproot),"({:instruction code_length, :close 1} {:instruction zip_end?, :close 0} {:instruction zip_remove, :close 1} {:instruction float_lte, :close 1} {:instruction boolean_xor, :close 0} {:instruction vector_integer_occurrencesof, :close 0} {:instruction exec_do*vector_boolean, :close 1} {:instruction vector_string_last, :close 0} {:instruction string_frominteger, :close 0} {:instruction exec_if, :close 0} {:instruction return_string_pop, :close 0} {:instruction vector_string_take, :close 0} {:instruction vector_boolean_take, :close 0} {:instruction vector_integer_yank, :close 0} {:instruction integer_rot, :close 0} {:instruction integer_yank, :close 0} {:instruction char_isletter, :close 0} {:instruction vector_string_butlast, :close 0} {:instruction code_do*, :close 0} {:instruction integer_lte, :close 0} {:instruction boolean_stackdepth, :close 0} {:instruction return_string_pop, :close 0} {:instruction string_fromboolean, :close 0} {:instruction code_fromfloat, :close 1} {:instruction print_char, :close 0} {:instruction vector_integer_indexof, :close 0} {:instruction string_swap, :close 0} {:instruction exec_do*range, :close 1} {:instruction exec_fromziplefts, :close 1} {:instruction zip_branch?, :close 0} {:instruction vector_integer_occurrencesof, :close 0} {:instruction zip_pop, :close 0} {:instruction string_butlast, :close 0} {:instruction vector_float_nth, :close 0} {:instruction vector_integer_rest, :close 0} {:instruction integer_lte, :close 0} {:instruction float_gt, :close 0} {:instruction char_stackdepth, :close 1} {:instruction string_substring, :close 1} {:instruction print_char, :close 1} {:instruction code_do*range, :close 0} {:instruction code_fromzipchildren, :close 1} {:instruction print_char, :close 0} {:instruction code_quote, :close 0} {:instruction zip_left, :close 0} {:instruction vector_boolean_butlast, :close 0} {:instruction char_dup, :close 0} {:instruction exec_fromziproot, :close 0})",10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3ed69393-c139-4c17-9998-4f159a21a5d1,0,4,[],:random,46,42,(string_fromchar string_shove vector_string_subvec vector_boolean_indexof string_reverse float_cos vector_integer_length vector_integer_yank zip_fromexec (boolean_yankdup) boolean_and string_yankdup char_flush code_map boolean_shove string_reverse exec_if (vector_boolean_replace) (string_stackdepth float_swap code_size print_code string_parse_to_chars vector_string_nth boolean_swap vector_integer_nth code_stackdepth vector_integer_nth string_eq vector_string_concat) vector_float_dup vector_boolean_replacefirst char_stackdepth vector_string_replace float_pop zip_append_child_fromcode integer_flush vector_float_flush vector_string_shove print_integer vector_float_first string_replace),"({:instruction string_fromchar, :close 0} {:instruction string_shove, :close 0} {:instruction vector_string_subvec, :close 0} {:instruction vector_boolean_indexof, :close 0} {:instruction string_reverse, :close 0} {:instruction float_cos, :close 0} {:instruction vector_integer_length, :close 0} {:instruction vector_integer_yank, :close 1} {:instruction zip_fromexec, :close 0} {:instruction boolean_yankdup, :close 1} {:instruction boolean_and, :close 0} {:instruction string_yankdup, :close 0} {:instruction char_flush, :close 0} {:instruction code_map, :close 0} {:instruction boolean_shove, :close 0} {:instruction string_reverse, :close 0} {:instruction exec_if, :close 0} {:instruction vector_boolean_replace, :close 1} {:instruction string_stackdepth, :close 0} {:instruction float_swap, :close 0} {:instruction code_size, :close 0} {:instruction print_code, :close 0} {:instruction string_parse_to_chars, :close 0} {:instruction vector_string_nth, :close 0} {:instruction boolean_swap, :close 0} {:instruction vector_integer_nth, :close 0} {:instruction code_stackdepth, :close 0} {:instruction vector_integer_nth, :close 0} {:instruction string_eq, :close 0} {:instruction vector_string_concat, :close 1} {:instruction vector_float_dup, :close 1} {:instruction vector_boolean_replacefirst, :close 0} {:instruction char_stackdepth, :close 0} {:instruction vector_string_replace, :close 0} {:instruction float_pop, :close 0} {:instruction zip_append_child_fromcode, :close 1} {:instruction integer_flush, :close 1} {:instruction vector_float_flush, :close 0} {:instruction vector_string_shove, :close 1} {:instruction print_integer, :close 1} {:instruction vector_float_first, :close 0} {:instruction string_replace, :close 0})",10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
ea95a98b-6f56-4974-a674-a8ccb5e16aa2,0,5,[],:random,43,39,(string_contains vector_boolean_yankdup code_dup code_fromzipchildren char_isletter string_rot boolean_swap string_shove integer_lte zip_append_child_fromcode float_cos print_boolean code_fromboolean vector_float_rest vector_string_nth string_parse_to_chars vector_float_swap integer_stackdepth zip_insert_left_fromexec (exec_if (string_first vector_integer_contains) (vector_string_emptyvector vector_integer_remove vector_string_remove) vector_integer_butlast return_float_pop) vector_integer_first code_position string_occurrencesofchar return_boolean_pop vector_string_yank float_eq vector_integer_indexof vector_boolean_stackdepth vector_string_remove code_do*count code_if code_subst),"({:instruction string_contains, :close 0} {:instruction vector_boolean_yankdup, :close 0} {:instruction code_dup, :close 0} {:instruction code_fromzipchildren, :close 1} {:instruction char_isletter, :close 0} {:instruction string_rot, :close 0} {:instruction boolean_swap, :close 0} {:instruction string_shove, :close 0} {:instruction integer_lte, :close 0} {:instruction zip_append_child_fromcode, :close 0} {:instruction float_cos, :close 0} {:instruction print_boolean, :close 0} {:instruction code_fromboolean, :close 0} {:instruction vector_float_rest, :close 0} {:instruction vector_string_nth, :close 0} {:instruction string_parse_to_chars, :close 0} {:instruction vector_float_swap, :close 0} {:instruction integer_stackdepth, :close 0} {:instruction zip_insert_left_fromexec, :close 0} {:instruction exec_if, :close 0} {:instruction string_first, :close 0} {:instruction vector_integer_contains, :close 1} {:instruction vector_string_emptyvector, :close 0} {:instruction vector_integer_remove, :close 0} {:instruction vector_string_remove, :close 1} {:instruction vector_integer_butlast, :close 0} {:instruction return_float_pop, :close 1} {:instruction vector_integer_first, :close 0} {:instruction code_position, :close 0} {:instruction string_occurrencesofchar, :close 0} {:instruction return_boolean_pop, :close 0} {:instruction vector_string_yank, :close 0} {:instruction float_eq, :close 0} {:instruction vector_integer_indexof, :close 0} {:instruction vector_boolean_stackdepth, :close 0} {:instruction vector_string_remove, :close 0} {:instruction code_do*count, :close 0} {:instruction code_if, :close 2} {:instruction code_subst, :close 1})",10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
c2a9d262-4a14-4d15-b582-ceb255fee67d,0,6,[],:random,14,13,(integer_eq boolean_invert_first_then_and vector_boolean_rot vector_string_concat code_pop code_empty vector_integer_remove vector_boolean_occurrencesof vector_float_indexof vector_integer_take zip_empty code_empty in1),"({:instruction integer_eq, :close 0} {:instruction boolean_invert_first_then_and, :close 0} {:instruction vector_boolean_rot, :close 0} {:instruction vector_string_concat, :close 0} {:instruction code_pop, :close 0} {:instruction code_empty, :close 0} {:instruction vector_integer_remove, :close 0} {:instruction vector_boolean_occurrencesof, :close 0} {:instruction vector_float_indexof, :close 0} {:instruction vector_integer_take, :close 0} {:instruction zip_empty, :close 0} {:instruction code_empty, :close 1} {:instruction in1, :close 0})",5,1,0,1,0,1,0,1,0,1,0
677ac63c-2ba9-47aa-b2b8-c3f896110b0c,0,7,[],:random,4,3,(integer_fromboolean char_yank zip_insert_right_fromcode),"({:instruction integer_fromboolean, :close 0} {:instruction char_yank, :close 0} {:instruction zip_insert_right_fromcode, :close 0})",10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
38f278d6-cb8a-4c8e-82ce-a99127d53c57,0,8,[],:random,37,36,(return_boolean_pop float_empty vector_float_reverse boolean_stackdepth code_length vector_string_stackdepth return_fromfloat code_extract vector_float_replace vector_boolean_length return_zip_pop return_zip_pop exec_do*vector_float (return_frominteger vector_string_last return_string_pop float_add vector_string_rot) code_fromziprights char_flush zip_fromcode vector_integer_conj vector_boolean_stackdepth string_yankdup code_noop vector_float_rest vector_float_rest zip_dup code_do* char_stackdepth zip_eq zip_dup vector_string_indexof char_swap string_parse_to_chars),"({:instruction return_boolean_pop, :close 0} {:instruction float_empty, :close 1} {:instruction vector_float_reverse, :close 0} {:instruction boolean_stackdepth, :close 0} {:instruction code_length, :close 1} {:instruction vector_string_stackdepth, :close 0} {:instruction noop_delete_prev_paren_pair, :close 0} {:instruction return_fromfloat, :close 1} {:instruction code_extract, :close 0} {:instruction vector_float_replace, :close 1} {:instruction vector_boolean_length, :close 0} {:instruction return_zip_pop, :close 0} {:instruction return_zip_pop, :close 1} {:instruction exec_do*vector_float, :close 0} {:instruction return_frominteger, :close 0} {:instruction vector_string_last, :close 0} {:instruction return_string_pop, :close 0} {:instruction float_add, :close 0} {:instruction vector_string_rot, :close 1} {:instruction code_fromziprights, :close 0} {:instruction char_flush, :close 0} {:instruction zip_fromcode, :close 0} {:instruction vector_integer_conj, :close 0} {:instruction vector_boolean_stackdepth, :close 0} {:instruction string_yankdup, :close 1} {:instruction code_noop, :close 0} {:instruction vector_float_rest, :close 0} {:instruction vector_float_rest, :close 2} {:instruction zip_dup, :close 0} {:instruction code_do*, :close 0} {:instruction char_stackdepth, :close 0} {:instruction zip_eq, :close 0} {:instruction zip_dup, :close 1} {:instruction vector_string_indexof, :close 0} {:instruction char_swap, :close 1} {:instruction string_parse_to_chars, :close 0})",5,1,0,1,0,1,0,1,0,1,0
2a3c72ff-9de6-4523-8527-734788fd62f4,0,9,[],:random,14,13,(string_take vector_string_dup (string_first) string_swap code_fromzipnode vector_integer_pop string_empty boolean_yankdup vector_integer_replace print_boolean integer_lte integer_yankdup),"({:instruction string_take, :close 0} {:instruction vector_string_dup, :close 1} {:instruction noop_open_paren, :close 0} {:instruction string_first, :close 1} {:instruction string_swap, :close 0} {:instruction code_fromzipnode, :close 2} {:instruction vector_integer_pop, :close 0} {:instruction string_empty, :close 0} {:instruction boolean_yankdup, :close 1} {:instruction vector_integer_replace, :close 1} {:instruction print_boolean, :close 0} {:instruction integer_lte, :close 0} {:instruction integer_yankdup, :close 0})",5,1,0,1,0,1,0,1,0,1,0
